correctness<0.6 題數: 60 / 100
is_refusal 全體: 0 ; wrongful_refusal: 0
wrongful_refusal ids: []
correctness_verdict 分布: {None: 100}

-- 低corr題: LLM judge verdict vs faithfulness vs recall --
news-08   corr=0.15 faith=1.00 recall=0.40 | judge=None refusal=False
lex-05    corr=0.17 faith=1.00 recall=0.00 | judge=None refusal=False
lex-04    corr=0.19 faith=1.00 recall=0.00 | judge=None refusal=False
mix-12    corr=0.19 faith=0.64 recall=0.25 | judge=None refusal=False
lex-10    corr=0.21 faith=1.00 recall=0.00 | judge=None refusal=False
mix-15    corr=0.21 faith=1.00 recall=0.00 | judge=None refusal=False
sem-15    corr=0.23 faith=0.50 recall=0.25 | judge=None refusal=False
sem-14    corr=0.25 faith=0.80 recall=0.00 | judge=None refusal=False
lex-15    corr=0.28 faith=1.00 recall=0.00 | judge=None refusal=False
news-13   corr=0.32 faith=1.00 recall=0.00 | judge=None refusal=False
mix-10    corr=0.32 faith=0.80 recall=0.20 | judge=None refusal=False
mi-02     corr=0.34 faith=0.64 recall=0.14 | judge=None refusal=False
news-12   corr=0.34 faith=0.81 recall=0.40 | judge=None refusal=False
mix-03    corr=0.36 faith=0.89 recall=0.33 | judge=None refusal=False
col-02    corr=0.36 faith=0.68 recall=0.33 | judge=None refusal=False
lex-12    corr=0.36 faith=0.67 recall=0.50 | judge=None refusal=False
mh-07     corr=0.36 faith=1.00 recall=1.00 | judge=None refusal=False
mi-08     corr=0.37 faith=0.85 recall=0.33 | judge=None refusal=False
mix-06    corr=0.37 faith=0.50 recall=0.75 | judge=None refusal=False
col-07    corr=0.38 faith=0.33 recall=0.00 | judge=None refusal=False
sem-05    corr=0.41 faith=1.00 recall=1.00 | judge=None refusal=False
lex-11    corr=0.42 faith=1.00 recall=1.00 | judge=None refusal=False
mi-14     corr=0.42 faith=1.00 recall=0.75 | judge=None refusal=False
mix-07    corr=0.42 faith=0.50 recall=0.50 | judge=None refusal=False
mi-01     corr=0.42 faith=0.71 recall=0.62 | judge=None refusal=False
news-14   corr=0.42 faith=0.57 recall=0.43 | judge=None refusal=False
mix-05    corr=0.43 faith=0.56 recall=0.00 | judge=None refusal=False
lex-14    corr=0.43 faith=0.75 recall=0.50 | judge=None refusal=False
col-11    corr=0.44 faith=0.83 recall=0.40 | judge=None refusal=False
sem-06    corr=0.44 faith=0.98 recall=0.62 | judge=None refusal=False
mix-02    corr=0.45 faith=0.93 recall=0.33 | judge=None refusal=False
col-09    corr=0.48 faith=0.75 recall=0.50 | judge=None refusal=False
mi-10     corr=0.48 faith=0.75 recall=0.25 | judge=None refusal=False
mh-05     corr=0.49 faith=1.00 recall=0.50 | judge=None refusal=False
mi-03     corr=0.49 faith=0.63 recall=0.40 | judge=None refusal=False
lex-07    corr=0.51 faith=1.00 recall=1.00 | judge=None refusal=False
mix-09    corr=0.51 faith=0.89 recall=0.75 | judge=None refusal=False
col-15    corr=0.52 faith=0.70 recall=0.50 | judge=None refusal=False
lex-08    corr=0.52 faith=0.75 recall=0.67 | judge=None refusal=False
col-14    corr=0.52 faith=0.73 recall=1.00 | judge=None refusal=False
col-06    corr=0.53 faith=0.70 recall=0.82 | judge=None refusal=False
news-02   corr=0.53 faith=0.61 recall=1.00 | judge=None refusal=False
mix-14    corr=0.53 faith=0.80 recall=1.00 | judge=None refusal=False
sem-03    corr=0.53 faith=0.79 recall=0.20 | judge=None refusal=False
news-15   corr=0.54 faith=0.82 recall=0.73 | judge=None refusal=False
mi-12     corr=0.54 faith=0.75 recall=0.33 | judge=None refusal=False
col-13    corr=0.55 faith=0.67 recall=0.80 | judge=None refusal=False
lex-01    corr=0.55 faith=0.67 recall=0.75 | judge=None refusal=False
mix-08    corr=0.55 faith=0.55 recall=0.40 | judge=None refusal=False
mh-09     corr=0.56 faith=1.00 recall=0.50 | judge=None refusal=False
lex-03    corr=0.56 faith=1.00 recall=0.67 | judge=None refusal=False
sem-12    corr=0.57 faith=1.00 recall=0.50 | judge=None refusal=False
mh-04     corr=0.57 faith=1.00 recall=0.50 | judge=None refusal=False
sem-09    corr=0.58 faith=0.83 recall=0.90 | judge=None refusal=False
mh-01     corr=0.58 faith=1.00 recall=1.00 | judge=None refusal=False
sem-07    corr=0.58 faith=0.80 recall=0.86 | judge=None refusal=False
sem-13    corr=0.58 faith=0.71 recall=0.91 | judge=None refusal=False
mh-08     corr=0.59 faith=0.67 recall=1.00 | judge=None refusal=False
lex-06    corr=0.59 faith=0.83 recall=0.67 | judge=None refusal=False
col-12    corr=0.60 faith=1.00 recall=0.50 | judge=None refusal=False
